Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
10q,UCS,0.5324311051050289,1.394100326341913,0.4873587164692128,0.6055300708194983,0.127708,2.498322760614023,-1.667781435116761,0.3617239152,,,,,0.7470686880357867,1.6155928424885735,1.4473216057019849,0.014571949,0.010928962,-0.7001328369160611,-0.9622410464912593,0.05708245243128964,0
10p,ACC,0.030887766498987456,2.1041071838209344,1.8246233878555744,3.2082000682780327,,1.7478110044064143,-1.8622373236718892,,,,,,0.3995770190926845,,,0.026315789,0.013157895,-0.2682422374063629,,0.0859375,0
10p,BLCA,0.795961901267965,1.2925759649604698,1.2526894145121406,0.0,,,-1.23765473259816,,,,,,0.24457845987822233,1.845899331223244,2.972778839914694,0.026315789,0.013157895,-0.8004348364205868,-0.29980322407630783,0.0859375,0
10p,BRCA,0.662750852148693,1.54885420441848,0.4631263124768568,1.6183471874253743,0.15413624999999995,1.9568096529112935,-1.7741160286037096,0.5821317315,,,,,0.46760309575286263,1.3011109682920876,1.2044338148576532,0.026315789,0.013157895,-0.6673866866670308,1.232524365647045,0.0859375,0
10p,CESC,0.1065912362311533,1.3324047883037107,0.27092717815137324,1.1182875311837805,,,-0.8335376583688783,,,,,,0.5281307548060132,,,0.026315789,0.013157895,-0.7339107615438087,,0.0859375,0
10p,COAD,1.0,1.8872181247442774,1.2592012441432416,2.727521903811234,0.09992699999999999,1.3887037459023874,-2.2566043469475354,0.36564638111666664,,,,,0.42720300912021725,1.7897399424039686,1.642139586653854,0.026315789,0.013157895,-0.1351940876528069,0.4663605707853686,0.0859375,0
10p,ESCA,0.40021106984625116,1.2523908179871805,1.265713073774343,0.03332076183247765,0.09580925000000001,0.7329426700427757,-1.980769974578136,1.3944288244285716,,,,,0.21918482998733316,1.6417244058661635,1.7046750440471528,0.026315789,0.013157895,-0.6673866866670308,0.4663605707853686,0.0859375,0
10p,GBM,0.7511425391713938,1.6485503540613862,1.4208761835921704,2.3756090836917,0.0473355,1.866681603922925,-1.673903585817818,1.6821270820852066,1.9849234798841144,1.5946975451871004,1.8658154785234486,1.744470234721612,0.39835907725124936,,,0.026315789,0.013157895,-0.0021459378992509234,,0.0859375,-1
10p,KICH,0.05031682850447826,1.731588026987632,1.2632440146753223,2.2868715595733478,,,-1.867721475887784,,1.3444366108088164,1.8806797411694207,1.9579047946119124,1.930701805087033,0.19541513893976856,1.662036614777488,2.0367673861490405,0.026315789,0.013157895,-0.4012903871599189,1.232524365647045,0.0859375,-1
10p,KIRC,0.05031682850447826,1.731588026987632,1.2632440146753223,2.2868715595733478,,,-1.867721475887784,,1.3444366108088164,1.8806797411694207,1.9579047946119124,1.930701805087033,0.682368456933721,1.662036614777488,2.0367673861490405,0.026315789,0.013157895,-0.4012903871599189,1.232524365647045,0.0859375,0
10p,KIRP,0.05031682850447826,1.731588026987632,1.2632440146753223,2.2868715595733478,,,-1.867721475887784,,1.3444366108088164,1.8806797411694207,1.9579047946119124,1.930701805087033,0.5217928592987707,1.662036614777488,2.0367673861490405,0.026315789,0.013157895,-0.4012903871599189,1.232524365647045,0.0859375,0
10p,LAML,0.3288429242514311,0.9516267536740943,3.8842816834932075,3.13072233317045,0.05460399999999995,1.1229887494538795,-6.036376305409586,3.9157280210151515,,,,,0.34413937459069077,1.676088878479908,1.6599658632243222,0.026315789,0.013157895,0.796142960622085,1.232524365647045,0.0859375,0
10p,LGG,0.7511425391713938,1.6485503540613862,1.4208761835921704,2.3756090836917,0.0473355,1.866681603922925,-1.673903585817818,1.6821270820852066,1.9849234798841144,1.5946975451871004,1.8658154785234486,1.744470234721612,0.31131083320885,,,0.026315789,0.013157895,-0.0021459378992509234,,0.0859375,-1
10p,LIHC,0.7198407286255765,3.138400065400784,3.447922682860574,5.516749239417312,0.1301275,2.4168867438513377,-3.1772190155644293,4.3679380490416655,1.9696126311901478,2.2512856988343657,2.0329479510035497,2.036755010379236,0.5753334291575686,0.9809839897204752,1.7256513616122429,0.026315789,0.013157895,1.594431859143421,-1.832130813799659,0.0859375,0
10p,LUAD,0.3234497921777974,1.7157942581672714,2.1905605417552896,2.5163978119997896,0.1377285,0.90321762313469,-0.8034949226512248,1.958076434363636,,,,,0.32850974632194846,0.9663275930526554,0.643279939379406,0.026315789,0.013157895,-0.4012903871599189,0.4663605707853686,0.0859375,0
10p,LUSC,0.3234497921777974,1.7157942581672714,2.1905605417552896,2.5163978119997896,0.1377285,0.90321762313469,-0.8034949226512248,1.958076434363636,,,,,0.39370920051111435,0.9663275930526554,0.643279939379406,0.026315789,0.013157895,-0.4012903871599189,0.4663605707853686,0.0859375,-1
10p,OV,0.17128540804930034,2.0011228813663067,1.4486157980506889,1.9912537908772219,0.14100625,2.178966815988969,-3.5936088628540337,0.690391917375,1.5055525330588952,1.783308076648181,,,0.013494024942759052,1.4354100996209285,1.993581132115915,0.026315789,0.013157895,-0.5343385369134749,-1.0659670189379842,0.0859375,0
10p,PAAD,0.15856491695647434,2.798768558536402,2.114036572076103,2.5457642949726176,,1.34402844722441,-3.404515677105149,,,,,,0.37709011204591103,1.7403811739769457,2.0831073098788027,0.026315789,0.013157895,-0.1351940876528069,-1.832130813799659,0.0859375,0
10p,PRAD,0.0,1.4799774289945071,0.1804634306679031,1.3328841970413556,0.1249595,1.6952646346565008,-0.7783395487237588,1.0806459753666666,,,,,0.11630635132522614,3.359118401824642,2.6223319211791667,0.026315789,0.013157895,-0.6673866866670308,-1.832130813799659,0.0859375,0
10p,SKCM,0.33023139222593245,2.3681263079635415,1.9727906607224557,2.9552028362010767,0.1760155,0.6203575865258714,-3.753529426136847,0.6982732432619048,,,,,0.4997667367212129,1.3937878200350935,1.220373645946802,0.026315789,0.013157895,-0.06867001277602884,-0.29980322407630783,0.0859375,-1
