type,value
out group,12.78
out group,13.03
out group,12.34
out group,13.62
out group,12.26
out group,11.33
out group,11.2
out group,13.03
out group,10.54
out group,12.59
out group,12.07
out group,11.74
out group,12.77
out group,11.43
out group,11.96
out group,13.24
out group,12.42
out group,14.58
out group,13.2
out group,11.09
out group,11.93
out group,14.34
out group,13.25
out group,14.05
out group,12.43
out group,14.14
out group,10.5
out group,12.41
out group,12.65
out group,13.51
out group,10.7
out group,12.87
out group,13.46
out group,11.49
out group,12.37
out group,14.06
out group,12.75
out group,12.57
out group,11.8
out group,13.73
out group,12.95
out group,13.7
out group,13.8
out group,13.72
out group,13.37
out group,13.21
out group,13.86
out group,12.71
out group,13.08
out group,12.39
out group,14.24
