Chromosome arm,adipose,muscle,artery,heart,uterus,vagina,breast,skin,minor salivary gland,brain,adrenal gland,thyroid,lung,spleen,pancreas,esophagus,stomach,colon,small intestine,prostate,testis,nerve,cells,whole blood,pituitary,ovary,liver,kidney,cervix,fallopian tube,bladder
5q,0.026499302649930265,0.11157601115760112,0.04881450488145049,0.044630404463040445,0.008368200836820083,0.009762900976290097,0.008368200836820083,0.023709902370990237,0.02092050209205021,0.03765690376569038,0.04741980474198047,0.015341701534170154,0.016736401673640166,0.03207810320781032,0.040446304044630406,0.02092050209205021,0.016736401673640166,0.017433751743375175,0.015341701534170154,0.0041841004184100415,0.14783821478382148,0.015341701534170154,0.18828451882845187,0.1199442119944212,0.030683403068340307,0.03765690376569038,0.07112970711297072,0.02301255230125523,0.00697350069735007,0.0041841004184100415,0.005578800557880056
8q,0.016049382716049384,0.15555555555555556,0.03209876543209877,0.05432098765432099,0.0049382716049382715,0.014814814814814815,0.012345679012345678,0.04938271604938271,0.009876543209876543,0.0345679012345679,0.03950617283950617,0.03209876543209877,0.007407407407407408,0.014814814814814815,0.044444444444444446,0.009876543209876543,0.012345679012345678,0.014814814814814815,0.019753086419753086,0.009876543209876543,0.13333333333333333,0.022222222222222223,0.15925925925925927,0.1037037037037037,0.022222222222222223,0.02962962962962963,0.09876543209876543,0.02345679012345679,0.0049382716049382715,0.012345679012345678,0.0049382716049382715
22q,0.016241299303944315,0.11600928074245939,0.02088167053364269,0.0382830626450116,0.0069605568445475635,0.0069605568445475635,0.0069605568445475635,0.029002320185614848,0.013921113689095127,0.03944315545243619,0.02320185614849188,0.030162412993039442,0.016241299303944315,0.05568445475638051,0.04408352668213457,0.01160092807424594,0.01160092807424594,0.008120649651972157,0.02088167053364269,0.018561484918793503,0.17633410672853828,0.009280742459396751,0.09164733178654293,0.16473317865429235,0.03248259860788863,0.025522041763341066,0.12296983758700696,0.027842227378190254,0.004640371229698376,0.002320185614849188,0.002320185614849188
9q,0.020871143375680582,0.11433756805807622,0.032667876588021776,0.04809437386569873,0.014519056261343012,0.0,0.0054446460980036296,0.041742286751361164,0.021778584392014518,0.029038112522686024,0.045372050816696916,0.016333938294010888,0.009074410163339383,0.02722323049001815,0.05989110707803993,0.019963702359346643,0.016333938294010888,0.021778584392014518,0.010889292196007259,0.007259528130671506,0.18148820326678766,0.016333938294010888,0.1279491833030853,0.12704174228675136,0.030852994555353903,0.021778584392014518,0.12522686025408347,0.019963702359346643,0.010889292196007259,0.016333938294010888,0.012704174228675136
10q,0.019400352733686066,0.15873015873015872,0.031746031746031744,0.04585537918871252,0.008818342151675485,0.005291005291005291,0.007054673721340388,0.0564373897707231,0.012345679012345678,0.047619047619047616,0.05114638447971781,0.012345679012345678,0.019400352733686066,0.021164021164021163,0.06349206349206349,0.012345679012345678,0.014109347442680775,0.020282186948853614,0.014109347442680775,0.001763668430335097,0.1146384479717813,0.03350970017636684,0.14109347442680775,0.1111111111111111,0.014109347442680775,0.024691358024691357,0.10405643738977072,0.023809523809523808,0.009700176366843033,0.003527336860670194,0.0
10p,0.046052631578947366,0.20394736842105263,0.05263157894736842,0.05592105263157895,0.0,0.0,0.006578947368421052,0.03618421052631579,0.019736842105263157,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.019736842105263157,0.03289473684210526,0.03289473684210526,0.006578947368421052,0.006578947368421052,0.03289473684210526,0.03289473684210526,0.006578947368421052,0.14473684210526316,0.019736842105263157,0.14473684210526316,0.07894736842105263,0.013157894736842105,0.013157894736842105,0.11842105263157894,0.019736842105263157,0.003289473684210526,0.0,0.0
18p,0.03787878787878788,0.15151515151515152,0.015151515151515152,0.05303030303030303,0.0,0.0,0.015151515151515152,0.05303030303030303,0.015151515151515152,0.045454545454545456,0.045454545454545456,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.030303030303030304,0.015151515151515152,0.0,0.0,0.0,0.0,0.18181818181818182,0.030303030303030304,0.1590909090909091,0.16666666666666666,0.015151515151515152,0.0,0.06060606060606061,0.015151515151515152,0.015151515151515152,0.0,0.0
15q,0.010291595197255575,0.14922813036020582,0.04974271012006861,0.04030874785591767,0.0137221269296741,0.010291595197255575,0.0017152658662092624,0.04030874785591767,0.0137221269296741,0.0274442538593482,0.025728987993138937,0.051457975986277875,0.010291595197255575,0.022298456260720412,0.04288164665523156,0.012006861063464836,0.008576329331046312,0.01972555746140652,0.017152658662092625,0.010291595197255575,0.15608919382504288,0.018867924528301886,0.15866209262435677,0.1097770154373928,0.030874785591766724,0.024013722126929673,0.060034305317324184,0.017152658662092625,0.010291595197255575,0.003430531732418525,0.0
5p,0.03819444444444445,0.1875,0.013888888888888888,0.06944444444444445,0.006944444444444444,0.006944444444444444,0.020833333333333332,0.034722222222222224,0.034722222222222224,0.041666666666666664,0.04861111111111111,0.013888888888888888,0.034722222222222224,0.020833333333333332,0.034722222222222224,0.006944444444444444,0.020833333333333332,0.010416666666666666,0.020833333333333332,0.0,0.14583333333333334,0.013888888888888888,0.1840277777777778,0.0763888888888889,0.034722222222222224,0.027777777777777776,0.14583333333333334,0.059027777777777776,0.017361111111111112,0.0,0.0
18q,0.010050251256281407,0.12562814070351758,0.02512562814070352,0.04271356783919598,0.005025125628140704,0.04020100502512563,0.005025125628140704,0.09296482412060302,0.03015075376884422,0.06532663316582915,0.035175879396984924,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.02512562814070352,0.0,0.01507537688442211,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.18592964824120603,0.010050251256281407,0.1306532663316583,0.06532663316582915,0.02512562814070352,0.04020100502512563,0.09547738693467336,0.02512562814070352,0.007537688442211055,0.005025125628140704,0.0
20p,0.03611111111111111,0.1111111111111111,0.022222222222222223,0.030555555555555555,0.016666666666666666,0.0,0.016666666666666666,0.05,0.011111111111111112,0.044444444444444446,0.06111111111111111,0.044444444444444446,0.06111111111111111,0.022222222222222223,0.027777777777777776,0.022222222222222223,0.022222222222222223,0.011111111111111112,0.005555555555555556,0.027777777777777776,0.17777777777777778,0.005555555555555556,0.10833333333333334,0.13333333333333333,0.022222222222222223,0.016666666666666666,0.07777777777777778,0.016666666666666666,0.027777777777777776,0.005555555555555556,0.0
21q,0.020930232558139535,0.11162790697674418,0.027906976744186046,0.023255813953488372,0.009302325581395349,0.0,0.004651162790697674,0.030232558139534883,0.04186046511627907,0.03255813953488372,0.023255813953488372,0.023255813953488372,0.009302325581395349,0.013953488372093023,0.03255813953488372,0.013953488372093023,0.03255813953488372,0.023255813953488372,0.018604651162790697,0.009302325581395349,0.19069767441860466,0.0,0.11627906976744186,0.07441860465116279,0.03255813953488372,0.027906976744186046,0.06046511627906977,0.03255813953488372,0.002325581395348837,0.013953488372093023,0.009302325581395349
21p,0.0,0.09090909090909091,0.0,0.13636363636363635,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0
