Arm,Del frequency,Amp frequency,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
16q,0.24,0.175,0.4085799729313232,1.3672532763715943,1.0633374926445096,1.5929239909170825,0.091162,1.4812342580739333,-1.6236218913230671,0.4960537145886364,1.6039427999391558,1.5746408049612461,1.9017587451793725,1.7038785650444717,0.42979292479411624,1.0391059443550446,1.345425462725698,0.028011204,0.008403361,-0.3554269924865206,-0.0910859744297136,0.115625
17p,0.4,0.09,0.4517403532039581,1.4796819555089156,1.0612737137055344,1.6053502809238176,0.07708525,1.4428124329835892,-1.3203897459214482,0.502965214921201,1.551153342120553,1.5922642332395178,1.7622125305787173,1.55629653328511,0.44076446698375926,1.0510904512687729,1.4805292531961756,0.021943574,0.009404389,-0.5541998650902192,-0.3267368551627692,0.0782312925170068
17q,0.19,0.18,0.2978378544234115,1.4543343721554076,0.906847071138389,1.4562627023312305,0.08738275,1.5091020295416833,-1.3381389726125623,0.5338416660529892,1.607143227574816,1.5802061977239639,1.8211390265922645,1.7725964399281922,0.2985014034127975,1.2694559340655187,1.4613856127103164,0.017879949,0.011494253,-0.3624233913785791,-0.335583324997094,0.1287671232876712
18p,0.345,0.16,0.3896774279618147,1.3313687183610152,0.6972823738041976,1.5227069980006127,0.093196,1.3814863201239165,-1.2514182717742592,0.33114935498091974,1.6479826165265912,1.6630254041664676,1.731032138739158,1.644942443326473,0.3648150337880417,1.2536431536774537,1.396748578849686,0.0,0.0,-0.4348144238883479,-0.6072721512541481,0.1071428571428571
18q,0.32999999999999996,0.11,0.2721969629232345,1.4194454969757384,0.8983210689586674,1.2913865919821572,0.099195,1.495014967274794,-1.025424743486352,0.7865533147479702,1.3906772580996534,1.6165366526276266,1.7231603657259724,1.875124689249212,0.35062713024979375,1.1408807056199273,1.3071624505410735,0.015463918,0.010309278,-0.3170011319771324,-0.14516613544964285,0.0625
19p,0.17,0.18,0.39844556077206494,1.412632299210021,0.89126810860639,1.4134790394401318,0.0857309999999999,1.4593205248015284,-1.0931539728817916,0.5533550834002164,1.4463523841538928,1.5119563148064112,1.8026992511900288,1.8239145887974644,0.23549596121653796,1.217526997683336,1.334015862073087,0.006896552,0.018965517,-0.2603679297952348,-0.3420693442266789,0.0915750915750915
19q,0.16499999999999998,0.2,0.3030174854814627,1.403807871952909,0.9958231754631136,1.4138566717299916,0.0957129999999999,1.4450782086290637,-1.1736882202274934,0.5698598711333334,1.5646491832038243,1.607866847311052,1.836548073816811,1.682583681809266,0.4292313455204184,1.018586089308348,1.4056391531284098,0.009234828,0.009234828,-0.4303636789202366,-0.7541634079035804,0.0613079019073569
20p,0.13,0.38,0.511613940461465,1.4347070866629108,0.8734011278618168,1.2971910763836743,0.09209925,1.465259824284577,-1.5095007716996323,0.706650955782452,1.4762054149148685,1.8027750288437367,1.871361764413672,1.7641284312185572,0.4175935506129066,1.4297930796284308,1.6086932879036286,0.005649718,0.016949153,-0.2888479403354299,-0.3743904403723611,0.062111801242236
20q,0.065,0.395,0.3854918639084779,1.4322745670965298,1.024891408329934,1.6669788218072386,0.0868129999999999,1.568820340942255,-1.4545383243721175,0.5420493325208334,1.400050123337595,1.767629696846433,1.8661484704748248,1.7869861950454824,0.43491183013795276,1.175491487447581,1.2589867460338362,0.002890173,0.01734104,-0.3428747321203968,-0.19131235112346348,0.121405750798722
21q,0.24,0.125,0.3214947670762476,1.4046534944355225,0.8217828088668888,1.4876278823972062,0.08912775,1.4498530593377792,-0.9061269947145891,0.4834493807010154,1.4656904953322738,1.7830288092226263,1.8319397798469188,1.8715428003960983,0.308796393482032,1.2219070431163155,1.2858338694777816,0.009389671,0.023474178,-0.21635426021625945,-0.7574621279535994,0.0824175824175824
22q,0.30000000000000004,0.12,0.30010473597218207,1.4313490382136065,1.28401852850976,1.492783045580887,0.0891162499999999,1.4808664920713994,-1.4117099547107053,0.5303219295059227,1.5350925904365487,1.484709928459882,1.7850541798363,1.8237242560354912,0.3835313160215646,1.2201184415896265,1.3937264017322373,0.016908213,0.004830918,-0.30581908369281324,-0.661899517360545,0.1096256684491978
