Chromosome_arm,ovary,blood,colorectal,skin,lung,urinary-tract,kidney,breast,pancreas,plasma-cell,central-nervous-system,soft-tissue,lymphocyte,bone,fibroblast,gastric,thyroid,peripheral-nervous-system,prostate,bile-duct,uterus,upper-aerodigestive,esophagus,liver
2q,0.10329985652797705,0.10043041606886657,0.10329985652797705,0.10903873744619799,0.10186513629842181,0.10043041606886657,0.10473457675753228,0.10186513629842181,0.10043041606886657,0.10186513629842181,0.09899569583931134,0.0975609756097561,0.09956709956709957,0.10043041606886657,0.12769010043041606,0.10473457675753228,0.11764705882352941,0.09182209469153516,0.0975609756097561,0.10329985652797705,0.10616929698708752,0.10043041606886657,0.10329985652797705,0.10616929698708752
20p,0.08045977011494253,0.08620689655172414,0.09770114942528736,0.08620689655172414,0.09195402298850575,0.08045977011494253,0.08045977011494253,0.07471264367816093,0.09195402298850575,0.08620689655172414,0.08620689655172414,0.09195402298850575,0.09195402298850575,0.08045977011494253,,0.08620689655172414,0.10344827586206896,0.08620689655172414,0.08620689655172414,,0.07471264367816093,0.08045977011494253,0.08620689655172414,0.08045977011494253
20q,0.12835820895522387,0.1253731343283582,0.13134328358208955,0.13134328358208955,0.12238805970149254,0.12238805970149254,0.14029850746268657,0.1253731343283582,0.1253731343283582,0.12835820895522387,0.1373134328358209,0.11940298507462686,0.13134328358208955,0.1253731343283582,0.16417910447761194,0.13432835820895522,0.1373134328358209,0.1253731343283582,0.14029850746268657,0.1373134328358209,0.1253731343283582,0.13432835820895522,0.13134328358208955,0.13432835820895522
21q,0.10362694300518134,0.11398963730569948,0.10880829015544041,0.09844559585492228,0.10362694300518134,0.10362694300518134,0.09844559585492228,0.09844559585492228,0.09844559585492228,0.10880829015544041,0.10362694300518134,0.11398963730569948,0.11458333333333333,0.09844559585492228,0.10362694300518134,0.10880829015544041,0.09844559585492228,0.10362694300518134,0.10362694300518134,0.10880829015544041,0.09326424870466321,0.09844559585492228,0.11398963730569948,0.08808290155440414
22q,0.10886075949367088,0.10632911392405063,0.11392405063291139,0.11645569620253164,0.11392405063291139,0.10886075949367088,0.10632911392405063,0.1240506329113924,0.10886075949367088,0.11392405063291139,0.10632911392405063,0.1189873417721519,0.11645569620253164,0.11392405063291139,,0.11139240506329114,0.1291139240506329,0.1189873417721519,0.11139240506329114,,0.10632911392405063,0.10886075949367088,0.11392405063291139,0.10632911392405063
3p,0.12095032397408208,0.12526997840172785,0.12095032397408208,0.12095032397408208,0.11447084233261338,0.11879049676025918,0.12742980561555076,0.11663066954643629,0.12311015118790497,0.1101511879049676,0.11447084233261338,0.12095032397408208,0.11688311688311688,0.11663066954643629,,0.11879049676025918,0.1079913606911447,0.1101511879049676,0.12742980561555076,0.12311015118790497,0.1101511879049676,0.13822894168466524,0.1079913606911447,0.11879049676025918
3q,0.10344827586206896,0.10153256704980843,0.11302681992337164,0.10727969348659004,0.11302681992337164,0.11494252873563218,0.10919540229885058,0.10344827586206896,0.1111111111111111,0.11877394636015326,0.10727969348659004,0.11685823754789272,0.11753371868978806,0.1053639846743295,,0.10919540229885058,0.11302681992337164,0.10344827586206896,0.1111111111111111,0.11494252873563218,0.10727969348659004,0.11302681992337164,0.10153256704980843,0.10919540229885058
4p,0.09313725490196079,0.09803921568627451,0.08823529411764706,0.09803921568627451,0.08333333333333333,0.08823529411764706,0.09313725490196079,0.10294117647058823,0.08333333333333333,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09313725490196079,0.09313725490196079,,0.09313725490196079,0.09803921568627451,0.08823529411764706,0.10294117647058823,,0.09803921568627451,0.10784313725490197,0.08333333333333333,0.09803921568627451
4q,0.07975460122699386,0.08588957055214724,0.08384458077709611,0.07770961145194274,0.081799591002045,0.07770961145194274,0.07770961145194274,0.07975460122699386,0.07770961145194274,0.08384458077709611,0.07975460122699386,0.07770961145194274,0.08196721311475409,0.08384458077709611,0.07566462167689161,0.09202453987730061,0.081799591002045,0.07975460122699386,0.081799591002045,0.07975460122699386,0.07770961145194274,0.08588957055214724,0.09202453987730061,0.08997955010224949
5p,0.11450381679389313,0.13740458015267176,0.1297709923664122,0.1297709923664122,0.12213740458015267,0.13740458015267176,0.13740458015267176,0.11450381679389313,0.11450381679389313,0.11450381679389313,0.09923664122137404,0.12213740458015267,0.12307692307692308,0.12213740458015267,,0.13740458015267176,0.12213740458015267,0.1297709923664122,0.1297709923664122,0.11450381679389313,0.13740458015267176,0.1450381679389313,0.11450381679389313,0.12213740458015267
5q,0.10635155096011817,0.10782865583456426,0.10487444608567208,0.10782865583456426,0.103397341211226,0.10487444608567208,0.10930576070901034,0.10487444608567208,0.10930576070901034,0.10487444608567208,0.10635155096011817,0.103397341211226,0.10930576070901034,0.10635155096011817,0.10487444608567208,0.11078286558345643,0.10487444608567208,0.103397341211226,0.11225997045790251,0.10930576070901034,0.103397341211226,0.11225997045790251,0.103397341211226,0.103397341211226
6p,0.10784313725490197,0.10392156862745099,0.10588235294117647,0.10588235294117647,0.10588235294117647,0.10980392156862745,0.1,0.10980392156862745,0.10588235294117647,0.10980392156862745,0.10588235294117647,0.10980392156862745,0.10869565217391304,0.10392156862745099,0.11372549019607843,0.10784313725490197,0.10784313725490197,0.10588235294117647,0.12941176470588237,0.12156862745098039,0.11176470588235295,0.11372549019607843,0.10588235294117647,0.10784313725490197
6q,0.09,0.09,0.0925,0.095,0.0875,0.09,0.0875,0.085,0.0875,0.09,0.0875,0.09,0.0825,0.0925,0.085,0.0875,0.1025,0.09,0.0975,0.09,0.09,0.0875,0.0875,0.085
7p,0.10984848484848485,0.10606060606060606,0.10984848484848485,0.10227272727272728,0.10606060606060606,0.10984848484848485,0.12121212121212122,0.11363636363636363,0.10606060606060606,0.0946969696969697,0.10606060606060606,0.10606060606060606,0.10984848484848485,0.10227272727272728,0.11363636363636363,0.10984848484848485,,0.09848484848484848,0.11363636363636363,0.12121212121212122,0.10984848484848485,0.10984848484848485,0.11742424242424243,0.11363636363636363
7q,0.08872458410351201,0.09426987060998152,0.08687615526802218,0.09057301293900184,0.08502772643253234,0.08317929759704251,0.09242144177449169,0.08502772643253234,0.08872458410351201,0.08502772643253234,0.08317929759704251,0.08502772643253234,0.08872458410351201,0.08502772643253234,0.08502772643253234,0.08502772643253234,,0.08687615526802218,0.09611829944547134,0.09057301293900184,0.08687615526802218,0.09426987060998152,0.08133086876155268,0.08317929759704251
8p,0.0684931506849315,0.0639269406392694,0.0593607305936073,0.0776255707762557,0.0684931506849315,0.0684931506849315,0.0639269406392694,0.0684931506849315,0.0684931506849315,0.0730593607305936,0.0593607305936073,0.0639269406392694,0.0684931506849315,0.0593607305936073,0.0776255707762557,0.0684931506849315,0.0730593607305936,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0639269406392694,0.0730593607305936,0.0684931506849315,0.0730593607305936
8q,0.11528150134048257,0.1126005361930295,0.11528150134048257,0.12064343163538874,0.11528150134048257,0.12064343163538874,0.1260053619302949,0.11528150134048257,0.11796246648793565,0.11528150134048257,0.10991957104557641,0.11528150134048257,0.11621621621621622,0.11796246648793565,0.13136729222520108,0.12064343163538874,0.11796246648793565,0.11528150134048257,0.13404825737265416,0.128686327077748,0.10991957104557641,0.12332439678284182,0.1126005361930295,0.1126005361930295
9p,0.09743589743589744,0.09743589743589744,0.10256410256410256,0.09230769230769231,0.09743589743589744,0.09743589743589744,0.10256410256410256,0.10256410256410256,0.09743589743589744,0.09743589743589744,0.10256410256410256,0.11282051282051282,0.1076923076923077,0.09743589743589744,,0.10256410256410256,0.09743589743589744,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.10256410256410256,0.1076923076923077,0.09743589743589744,0.10256410256410256
9q,0.11067193675889328,0.10869565217391304,0.11067193675889328,0.11067193675889328,0.11067193675889328,0.11462450592885376,0.11067193675889328,0.116600790513834,0.10474308300395258,0.11857707509881422,0.1067193675889328,0.10474308300395258,0.11287128712871287,0.11264822134387352,,0.11067193675889328,0.1007905138339921,0.11857707509881422,0.12055335968379446,0.116600790513834,0.11857707509881422,0.11264822134387352,0.1007905138339921,0.11067193675889328
